/turf/closed/mineral/random/low_chance => 247ms (55085) (avg:0.004483979195356369)
/turf/closed/indestructible/rock => 158ms (35159) (avg:0.00449387077242136)
/turf/open/space/basic => 82ms (39781) (avg:0.0020612855441868305)
/turf/closed/mineral/random/high_chance => 26ms (6412) (avg:0.0040548969991505146)
/turf/closed/mineral/iron => 26ms (4992) (avg:0.0052083334885537624)
/turf/closed/wall/rust => 18ms (2361) (avg:0.007623888086527586)
/obj/machinery/hydroponics/constructable => 13ms (1763) (avg:0.0073737944476306438)
/turf/closed/indestructible/riveted => 12ms (2661) (avg:0.0045095826499164104)
/turf/closed/wall/r_wall/rust => 11ms (2495) (avg:0.0044088177382946014)
/turf/closed/wall/r_wall/f13vault => 11ms (1362) (avg:0.0080763585865497589)
/obj/structure/table => 7ms (655) (avg:0.010687022469937801)
/obj/machinery/light => 6ms (2383) (avg:0.0025178347714245319)
/turf/open/space/transit => 6ms (1621) (avg:0.0037014188710600138)
/turf/closed/mineral/titanium => 6ms (693) (avg:0.0086580086499452591)
/turf/closed/mineral/plasma => 5ms (1605) (avg:0.0031152646988630295)
/turf/closed/mineral/gold => 5ms (688) (avg:0.0072674420662224293)
/obj/structure/window/reinforced/fulltile => 5ms (497) (avg:0.01006036251783371)
/mob/living/carbon/human => 5ms (43) (avg:0.11627907305955887)
/mob/dead/observer => 5ms (3) (avg:1.6666666269302368)
/obj/structure/table/reinforced => 4ms (739) (avg:0.0054127196781337261)
/obj/structure/barricade/sandbags => 4ms (441) (avg:0.0090702949091792107)
/obj/machinery/power/apc => 4ms (20) (avg:0.20000000298023224)
/turf/closed/mineral/silver => 3ms (822) (avg:0.0036496350076049566)
/obj/structure/table/wood => 3ms (714) (avg:0.0042016808874905109)
/obj/machinery/door/airlock/hatch => 3ms (200) (avg:0.014999999664723873)
/obj/machinery/computer/terminal => 3ms (153) (avg:0.019607843831181526)
/obj/machinery/power/solar_control => 3ms (93) (avg:0.032258063554763794)
/turf/closed/mineral/uranium => 2ms (462) (avg:0.0043290043249726295)
/turf/closed/wall/r_wall => 2ms (225) (avg:0.0088888891041278839)
/turf/closed/wall/r_wall/f13superstore => 2ms (150) (avg:0.013333333656191826)
/obj/machinery/light/small => 1ms (995) (avg:0.0010050251148641109)
/turf/open/floor/plasteel => 1ms (371) (avg:0.0026954177301377058)
/obj/machinery/hydroponics/soil => 1ms (343) (avg:0.0029154520016163588)
/turf/closed/indestructible/rock/snow => 1ms (276) (avg:0.0036231884732842445)
/turf/closed/mineral/diamond => 1ms (274) (avg:0.0036496350076049566)
/turf/open/floor/plasteel/dark => 1ms (240) (avg:0.0041666668839752674)
/turf/closed/mineral/bscrystal => 1ms (198) (avg:0.0050505050458014011)
/turf/closed/indestructible => 1ms (168) (avg:0.0059523810632526875)
/turf/closed/wall/mineral/titanium => 1ms (164) (avg:0.0060975607484579086)
/turf/closed/indestructible/riveted/uranium => 1ms (131) (avg:0.0076335878111422062)
/obj/structure/closet/cabinet => 1ms (121) (avg:0.0082644624635577202)
/turf/closed/wall/mineral/plastitanium => 1ms (118) (avg:0.0084745762869715691)
/turf/closed/indestructible/fakeglass => 1ms (110) (avg:0.0090909088030457497)
/turf/closed/wall => 1ms (88) (avg:0.011363636702299118)
/obj/structure/table/glass => 1ms (62) (avg:0.016129031777381897)
/turf/closed/wall/mineral/iron => 1ms (62) (avg:0.016129031777381897)
/obj/machinery/door/airlock => 1ms (56) (avg:0.01785714365541935)
/obj/item/wirecutters => 1ms (50) (avg:0.019999999552965164)
/obj/screen/healthdoll => 1ms (49) (avg:0.020408162847161293)
/obj/machinery/computer/security => 1ms (48) (avg:0.02083333395421505)
/obj/item/reagent_containers/blood/random => 1ms (42) (avg:0.02380952425301075)
/turf/closed/mineral/ash_rock => 1ms (42) (avg:0.02380952425301075)
/obj/structure/table/wood/poker => 1ms (31) (avg:0.032258063554763794)
/obj/structure/table/abductor => 1ms (31) (avg:0.032258063554763794)
/obj/effect/decal/cleanable/blood/drip => 1ms (21) (avg:0.0476190485060215)
/obj/structure/window/shuttle => 1ms (19) (avg:0.052631579339504242)
/turf/open/floor/plasteel/f13/vault_floor/floor/floorsolid => 1ms (18) (avg:0.0555555559694767)
/obj/item/reagent_containers/syringe/epinephrine => 1ms (12) (avg:0.083333335816860199)
/obj/machinery/computer/security/wooden_tv => 1ms (12) (avg:0.083333335816860199)
/obj/machinery/door/airlock/abandoned => 1ms (12) (avg:0.083333335816860199)
/obj/machinery/door/airlock/titanium => 1ms (11) (avg:0.090909093618392944)
/obj/screen/parallax_layer/layer_2 => 1ms (7) (avg:0.1428571492433548)
/obj/structure/door_assembly/door_assembly_hatch => 1ms (6) (avg:0.1666666716337204)
/obj/item/reagent_containers/glass/bottle/epinephrine => 1ms (6) (avg:0.1666666716337204)
/obj/structure/closet/syndicate/personal => 1ms (6) (avg:0.1666666716337204)
/obj/screen/parallax_layer/layer_3 => 1ms (5) (avg:0.20000000298023224)
/obj/machinery/door/airlock/engineering/glass => 1ms (4) (avg:0.25)
/turf/closed/wall/mineral/plastitanium/nodiagonal => 1ms (4) (avg:0.25)
/obj/item/gun/ballistic/automatic/assault_rifle/infiltrator => 1ms (1) (avg:1)
/turf/open/floor/carpet/black => 0ms (358) (avg:0)
/turf/closed/indestructible/riveted/boss => 0ms (316) (avg:0)
/obj/structure/closet => 0ms (229) (avg:0)
/obj/structure/table/wood/settler => 0ms (223) (avg:0)
/obj/machinery/light/floor => 0ms (175) (avg:0)
/obj/structure/closet/crate/bin => 0ms (146) (avg:0)
/obj/item/paper_bin => 0ms (99) (avg:0)
/turf/open/floor/holofloor/carpet => 0ms (87) (avg:0)
/obj/machinery/firealarm => 0ms (77) (avg:0)
/turf/closed/mineral/random => 0ms (75) (avg:0)
/obj/machinery/door/airlock/centcom => 0ms (73) (avg:0)
/turf/open/floor/carpet => 0ms (67) (avg:0)
/turf/open/floor/plasteel/f13 => 0ms (63) (avg:0)
/turf/open/space => 0ms (61) (avg:0)
/obj/item/reagent_containers/glass/beaker/large => 0ms (54) (avg:0)
/obj/item/screwdriver => 0ms (48) (avg:0)
/obj/item/reagent_containers/blood/radaway => 0ms (47) (avg:0)
/obj/structure/closet/fridge => 0ms (47) (avg:0)
/obj/item/weldingtool => 0ms (43) (avg:0)
/turf/open/floor/plating/airless => 0ms (42) (avg:0)
/obj/structure/table/wood/bar => 0ms (41) (avg:0)
/turf/open/floor/plasteel/darkred/side => 0ms (40) (avg:0)
/obj/machinery/computer/secure_data => 0ms (40) (avg:0)
/obj/structure/table/wood/fancy => 0ms (34) (avg:0)
/obj/structure/lattice/catwalk => 0ms (33) (avg:0)
/obj/machinery/power/smes/engineering => 0ms (33) (avg:0)
/obj/item/reagent_containers/glass/beaker => 0ms (30) (avg:0)
/obj/item/storage/box/drinkingglasses => 0ms (29) (avg:0)
/turf/open/floor/plasteel/f13/vault_floor/floor => 0ms (28) (avg:0)
/obj/item/gun/energy/laser => 0ms (27) (avg:0)
/obj/item/lighter => 0ms (27) (avg:0)
/obj/machinery/computer/cargo => 0ms (27) (avg:0)
/obj/structure/window/paperframe => 0ms (27) (avg:0)
/obj/machinery/light/small/built => 0ms (25) (avg:0)
/obj/item/reagent_containers/syringe/charcoal => 0ms (24) (avg:0)
/obj/machinery/computer/crew => 0ms (24) (avg:0)
/obj/item/reagent_containers/syringe/medx => 0ms (23) (avg:0)
/obj/item/storage/box/handcuffs => 0ms (22) (avg:0)
